index,brand,model,chipset,vram,core_clock,boost_clock,color,length,price
315,Asus,"Founders Edition","GeForce GTX 1080 Ti","{'total': 11000000000}","{'cycles': 1480000000}","{'cycles': 1582000000}","Black / Silver",267,NULL
316,Asus,"Founders Edition","GeForce GTX 1080","{'total': 8000000000}","{'cycles': 1607000000}","{'cycles': 1733000000}","Black / Silver",267,NULL
317,Asus,GT1030-2G-BRK,"GeForce GT 1030","{'total': 2000000000}","{'cycles': 1266000000}","{'cycles': 1506000000}","Black / Blue",169,NULL
318,Asus,GT1030-2G-CSM,"GeForce GT 1030","{'total': 2000000000}","{'cycles': 1266000000}","{'cycles': 1506000000}","Black / Blue",173,NULL
319,Asus,GT520-1GD3-CSM,"GeForce GT 520","{'total': 1000000000}","{'cycles': 810000000}",NULL,"Black / Blue",NULL,NULL
320,Asus,GT610-2GD3-CSM,"GeForce GT 610","{'total': 2000000000}","{'cycles': 810000000}",NULL,"Black / Blue",185,NULL
321,Asus,GT610-SL-1GD3-L,"GeForce GT 610","{'total': 1000000000}","{'cycles': 810000000}",NULL,"Black / Blue",185,NULL
322,Asus,GT620-1GD3-L,"GeForce GT 620","{'total': 1000000000}","{'cycles': 700000000}",NULL,"Black / Blue",168,NULL
323,Asus,GT620-1GD3-L-V2,"GeForce GT 620","{'total': 1000000000}","{'cycles': 700000000}",NULL,"Black / Silver",168,NULL
324,Asus,GT620-DCSL-2GD3,"GeForce GT 620","{'total': 2000000000}","{'cycles': 700000000}",NULL,"Black / Red",187,NULL
325,Asus,GT630-2GD3,"GeForce GT 630","{'total': 2000000000}","{'cycles': 810000000}",NULL,"Black / Red",193,NULL
326,Asus,GT630-DCSL-2GD3,"GeForce GT 630","{'total': 2000000000}","{'cycles': 810000000}",NULL,"Black / Blue",203,NULL
327,Asus,GT630-SL-2GD3-L,"GeForce GT 630","{'total': 2000000000}","{'cycles': 902000000}",NULL,"Black / Blue",136,NULL
328,Asus,GT640-1GD3-L,"GeForce GT 640","{'total': 1000000000}","{'cycles': 901000000}",NULL,NULL,171,NULL
329,Asus,GT640-1GD5-L,"GeForce GT 640","{'total': 1000000000}","{'cycles': 1046000000}",NULL,"Black / Blue",145,NULL
330,Asus,GT640-2GD3,"GeForce GT 640","{'total': 2000000000}","{'cycles': 901000000}",NULL,"Black / Red",210,NULL
331,Asus,GT640-DCSL-2GD3,"GeForce GT 640","{'total': 2000000000}","{'cycles': 901000000}",NULL,"Black / Red",NULL,NULL
332,Asus,GT710-4H-SL-2GD5,"GeForce GT 710","{'total': 2000000000}","{'cycles': 954000000}",NULL,Black,167,NULL
333,Asus,GT710-SL-2GD5,"GeForce GT 710","{'total': 2000000000}","{'cycles': 954000000}",NULL,"Blue / Silver",167,NULL
334,Asus,GT720-1GD3/CSM,"GeForce GT 720","{'total': 1000000000}","{'cycles': 797000000}",NULL,Black,137,NULL
335,Asus,GT720-2GD3-CSM,"GeForce GT 720","{'total': 2000000000}","{'cycles': 797000000}",NULL,"Black / Blue",136,NULL
336,Asus,GT720-SL-2GD3-BRK,"GeForce GT 720","{'total': 2000000000}","{'cycles': 797000000}",NULL,"Black / Blue",137,NULL
337,Asus,GT730-SL-1GD3-BRK,"GeForce GT 730","{'total': 1000000000}","{'cycles': 902000000}",NULL,"Black / Blue",137,NULL
338,Asus,GT730-SL-2GD3-B,"GeForce GT 730","{'total': 2000000000}","{'cycles': 902000000}",NULL,Black,137,NULL
339,Asus,GT730-SL-2GD3-BRK,"GeForce GT 730","{'total': 2000000000}","{'cycles': 902000000}",NULL,Black,137,NULL
